 ,Frame,Label,X,Y,Area,Area Conv. Hull,Peri.,Peri. Conv. Hull,Feret,Min. Feret,Maximum inscriped circle diameter,Area equivalent circle diameter,Long Side Length MBR,Short Side Length MBR,Aspect Ratio,Area/Peri.,Circ.,Elong.,Convexity,Solidity,Num. of Holes,Thinnes Rt.,Contour Temp.,Orientation,Fract. Dim.,Fract. Dim. Goodness
111,1,111,4389.925,293.590,5076.994,5178.873,257.821,261.276,99.751,58.275,62.764,80.400,99.068,58.275,1.700,19.692,13.093,0.644,1,0.980,0,0.960,0.138,2.792,1.494,0.980
112,1,112,4934.660,303.724,4677.966,4907.195,268.578,268.847,113.972,54.107,52.123,77.176,112.548,53.569,2.101,17.418,15.420,0.725,1,0.953,0,0.815,0.091,151.186,1.479,0.986
113,1,113,328.094,296.908,1893.260,1978.160,153.147,154.052,54.977,40.395,42.023,49.098,48.843,42.425,1.151,12.362,12.388,0.456,1,0.957,0,1.000,0.119,148.790,1.276,0.949
114,1,114,1162.613,300.128,2835.645,2886.585,184.965,189.072,66.059,52.448,53.727,60.087,55.361,52.448,1.056,15.331,12.065,0.264,1,0.982,0,1.000,0.154,65.204,1.382,0.953
115,1,115,2099.550,313.642,3285.613,3379.003,199.336,201.581,69.504,57.689,59.429,64.679,65.931,57.689,1.143,16.483,12.094,0.381,1,0.972,0,1.000,0.134,138.502,1.446,0.950
116,1,116,1447.415,322.048,4677.966,4822.295,246.189,248.605,85.299,62.226,63.034,77.176,84.045,63.034,1.333,19.002,12.956,0.477,1,0.970,0,0.970,0.130,32.613,1.562,0.966
117,1,117,1945.402,332.308,7607.001,7827.739,310.862,312.634,106.899,87.306,84.850,98.415,97.730,88.618,1.103,24.471,12.703,0.356,1,0.972,0,0.989,0.118,162.161,1.570,0.991
118,1,118,3563.481,302.684,2037.589,2097.019,164.196,167.330,65.737,37.879,40.793,50.935,64.103,37.879,1.692,12.410,13.231,0.663,1,0.972,0,0.950,0.149,179.607,1.314,0.933
119,1,119,5559.085,334.163,4949.644,6044.849,300.105,290.779,105.902,71.465,53.727,79.386,99.452,71.964,1.382,16.493,18.196,0.678,0.969,0.819,0,0.691,0.166,105.418,1.489,0.994
120,1,120,673.662,317.202,2487.557,2801.685,197.051,195.263,70.955,52.562,46.620,56.278,66.444,51.632,1.287,12.624,15.609,0.479,0.991,0.888,0,0.805,0.128,90.679,1.366,0.951
121,1,121,805.923,322.065,2351.718,2445.107,168.765,171.123,61.741,48.762,48.055,54.720,52.123,52.123,1.000,13.935,12.111,0.380,1,0.962,0,1.000,0.140,78.059,1.331,0.956
122,1,122,1095.129,397.818,16988.402,17336.490,498.776,503.087,210.316,104.895,104.895,147.072,206.876,104.895,1.972,34.060,14.644,0.713,1,0.980,0,0.858,0.127,83.455,1.613,0.993
123,1,123,2506.187,346.853,11189.762,11368.051,384.009,388.309,142.893,105.077,103.264,119.362,125.291,116.550,1.075,29.139,13.178,0.497,1,0.984,0,0.954,0.134,41.641,1.687,0.997
124,1,124,3472.672,330.739,5144.913,5357.162,259.441,262.044,97.382,65.143,64.103,80.936,92.003,65.153,1.412,19.831,13.083,0.552,1,0.960,0,0.961,0.131,25.010,1.592,0.965
125,1,125,1551.398,346.737,10289.827,10553.015,372.005,371.657,137.812,102.858,100.260,114.461,117.276,110.761,1.059,27.660,13.449,0.464,0.999,0.975,0,0.934,0.090,9.641,1.665,0.997
126,1,126,5789.129,390.584,16691.254,17022.362,468.869,472.552,158.525,145.163,127.940,145.781,148.601,145.688,1.020,35.599,13.171,0.249,1,0.981,0,0.954,0.125,111.712,1.767,0.999
127,1,127,385.453,343.043,3693.131,3786.520,212.005,215.810,79.583,59.750,61.947,68.573,68.209,64.499,1.058,17.420,12.170,0.470,1,0.975,0,1.000,0.147,58.571,1.487,0.961
128,1,128,2772.341,346.453,2597.927,2708.296,184.382,185.386,70.955,49.296,48.055,57.513,62.357,51.878,1.202,14.090,13.086,0.545,1,0.959,0,0.960,0.117,117.309,1.367,0.953
129,1,129,305.087,344.345,2614.906,2657.356,181.142,183.490,65.153,48.951,49.448,57.701,59.785,49.448,1.209,14.436,12.548,0.466,1,0.984,0,1.000,0.138,62.800,1.392,0.950
130,1,130,3230.546,352.782,5221.323,5306.223,255.245,259.476,88.953,75.758,73.713,81.535,84.499,75.758,1.115,20.456,12.478,0.340,1,0.984,0,1.000,0.145,61.920,1.590,0.965
131,1,131,3641.330,375.994,10901.104,11113.352,372.296,375.380,135.576,101.639,103.264,117.812,125.291,107.809,1.162,29.281,12.715,0.490,1,0.981,0,0.988,0.126,27.899,1.641,0.995
132,1,132,5186.465,347.282,4864.745,4975.114,256.200,259.933,103.017,55.361,57.394,78.702,101.981,55.361,1.842,18.988,13.493,0.676,1,0.978,0,0.931,0.141,1.106,1.470,0.980
133,1,133,4384.887,407.484,23661.507,24026.576,553.065,556.321,201.639,147.415,147.426,173.571,188.945,146.530,1.289,42.782,12.927,0.483,1,0.985,0,0.972,0.119,33.933,1.883,0.999
134,1,134,4642.589,371.057,5764.680,5976.929,276.387,281.694,103.756,72.748,71.134,85.673,103.346,72.376,1.428,20.857,13.251,0.521,1,0.964,0,0.948,0.149,43.881,1.639,0.964
135,1,135,5383.827,368.097,8124.888,8345.627,318.963,320.970,108.280,91.705,92.141,101.710,105.299,93.286,1.129,25.473,12.522,0.340,1,0.974,0,1.000,0.120,3.362,1.582,0.996
136,1,136,945.067,378.235,9118.213,9398.381,336.200,339.887,114.232,98.331,93.422,107.748,110.569,98.595,1.121,27.121,12.396,0.345,1,0.970,0,1.000,0.133,25.931,1.613,0.997
137,1,137,1228.476,354.309,1791.381,1842.320,144.674,147.725,50.970,37.879,40.793,47.758,49.534,37.879,1.308,12.382,11.684,0.458,1,0.972,0,1.000,0.152,99.449,1.263,0.935
138,1,138,4932.895,397.141,10935.063,11223.722,379.441,381.404,128.006,116.203,103.099,117.996,119.464,116.550,1.025,28.819,13.166,0.208,1,0.974,0,0.954,0.116,150.997,1.642,0.995
